timestamp,ticker,title,status,market_type,yes_bid,yes_ask,yes_ask2,no_bid,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-10-22T00:39:20.336224Z,KXNBA-26-TOR,Will the Toronto win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2126141.66,0.0
2025-10-22T00:39:20.433508Z,KXNBA-26-SAC,Will the Sacramento win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2126042.08,0.0
2025-10-22T00:39:20.520369Z,KXNBA-26-UTA,Will the Utah win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,27,2125172.62,0.0
2025-10-22T00:39:20.616068Z,KXNBA-26-WAS,Will the Washington win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2124153.39,0.0
2025-10-22T00:39:20.709604Z,KXNBA-26-IND,Will the Indiana win the 2026 Pro Basketball Finals?,active,binary,0.0,0.02,,0.98,1.0,0.02,0.02,0.02,0,29,2120695.93,498.0
2025-10-22T00:39:20.798008Z,KXNBA-26-CHI,Will the Chicago win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2118711.98,467.0
2025-10-22T00:39:20.882158Z,KXNBA-26-CHA,Will the Charlotte win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2118532.58,467.0
2025-10-22T00:39:20.974926Z,KXNBA-26-DEN,Will the Denver win the 2026 Pro Basketball Finals?,active,binary,0.13,0.15,0.02,0.85,0.87,0.02,0.02,0.02,12,30,1805913.71,11694.0
2025-10-22T00:39:21.056915Z,KXNBA-26-CLE,Will the Cleveland win the 2026 Pro Basketball Finals?,active,binary,0.1,0.11,0.02,0.89,0.9,0.02,0.01,0.01,10,30,1708191.51,14431.0
2025-10-22T00:39:21.141749Z,KXNBA-26-HOU,Will the Houston win the 2026 Pro Basketball Finals?,active,binary,0.07,0.15,0.02,0.85,0.93,0.02,0.08,0.08,6,30,1237748.56,46948.0
2025-10-22T00:39:36.365052Z,KXNBA-26-NYK,Will the New York win the 2026 Pro Basketball Finals?,active,binary,0.07,0.1,0.02,0.9,0.93,0.02,0.03,0.03,7,36,3466166.75,74450.0
2025-10-22T00:39:36.444019Z,KXNBA-26-ORL,Will the Orlando win the 2026 Pro Basketball Finals?,active,binary,0.03,0.04,0.02,0.96,0.97,0.02,0.01,0.01,3,32,2753596.16,20681.0
2025-10-22T00:39:36.536848Z,KXNBA-26-LAL,Will the Los Angeles L win the 2026 Pro Basketball Finals?,active,binary,0.06,0.07,0.02,0.93,0.94,0.02,0.01,0.01,6,29,2605357.75,18988.0
2025-10-22T00:39:36.628146Z,KXNBA-26-LAC,Will the Los Angeles C win the 2026 Pro Basketball Finals?,active,binary,0.05,0.06,0.03,0.94,0.95,0.02,0.01,0.01,4,28,2488154.97,37966.0
2025-10-22T00:39:36.720649Z,KXNBA-26-BOS,Will the Boston win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,0.02,0.97,0.98,0.02,0.01,0.01,2,29,2473241.92,53485.0
2025-10-22T00:39:36.803411Z,KXNBA-26-OKC,Will the Oklahoma City win the 2026 Pro Basketball Finals?,active,binary,0.28,0.3,0.02,0.7,0.72,0.02,0.02,0.02,19,26,2467442.36,40504.0
2025-10-22T00:39:36.892631Z,KXNBA-26-MIN,Will the Minnesota win the 2026 Pro Basketball Finals?,active,binary,0.04,0.05,0.02,0.95,0.96,0.02,0.01,0.01,4,31,2432441.35,12205.0
2025-10-22T00:39:36.992782Z,KXNBA-26-PHI,Will the Philadelphia win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,0.02,0.97,0.98,0.02,0.01,0.01,2,32,2403359.85,1932.0
2025-10-22T00:39:37.080905Z,KXNBA-26-SAS,Will the San Antonio win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,0.02,0.97,0.98,0.02,0.01,0.01,2,31,2274861.91,8687.0
2025-10-22T00:39:37.180252Z,KXNBA-26-NOP,Will the New Orleans win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,29,2249387.08,3740.0
2025-10-22T00:39:37.262763Z,KXNBA-26-MIL,Will the Milwaukee win the 2026 Pro Basketball Finals?,active,binary,0.01,0.02,,0.98,0.99,0.02,0.01,0.01,1,29,2234800.07,13533.0
2025-10-22T00:39:37.346500Z,KXNBA-26-BKN,Will the Brooklyn win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,30,2196255.94,0.0
2025-10-22T00:39:37.436051Z,KXNBA-26-GSW,Will the Golden State win the 2026 Pro Basketball Finals?,active,binary,0.05,0.06,0.02,0.94,0.95,0.02,0.01,0.01,5,31,2188213.68,13552.0
2025-10-22T00:39:37.526993Z,KXNBA-26-DAL,Will the Dallas win the 2026 Pro Basketball Finals?,active,binary,0.03,0.04,0.02,0.96,0.97,0.02,0.01,0.01,3,32,2177351.59,9643.0
2025-10-22T00:39:37.616547Z,KXNBA-26-ATL,Will the Atlanta win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,0.02,0.97,0.98,0.02,0.01,0.01,2,28,2172110.0,1794.0
2025-10-22T00:39:37.714293Z,KXNBA-26-POR,Will the Portland win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,27,2152829.57,500.0
2025-10-22T00:39:37.804354Z,KXNBA-26-MIA,Will the Miami win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2144915.25,200.0
2025-10-22T00:39:37.887778Z,KXNBA-26-PHX,Will the Phoenix win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2142956.21,333.0
2025-10-22T00:39:37.971931Z,KXNBA-26-DET,Will the Detroit win the 2026 Pro Basketball Finals?,active,binary,0.01,0.02,,0.98,0.99,0.02,0.01,0.01,1,29,2127220.37,3740.0
2025-10-22T00:39:38.092180Z,KXNBA-26-MEM,Will the Memphis win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,27,2126284.06,492.0
2025-10-22T00:39:38.203061Z,KXNBA-26-TOR,Will the Toronto win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2126141.66,0.0
2025-10-22T00:39:38.287311Z,KXNBA-26-SAC,Will the Sacramento win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2126042.08,0.0
2025-10-22T00:39:38.370358Z,KXNBA-26-UTA,Will the Utah win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,27,2125172.62,0.0
2025-10-22T00:39:38.477239Z,KXNBA-26-WAS,Will the Washington win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2124153.39,0.0
2025-10-22T00:39:38.571833Z,KXNBA-26-IND,Will the Indiana win the 2026 Pro Basketball Finals?,active,binary,0.0,0.02,,0.98,1.0,0.02,0.02,0.02,0,29,2120695.93,498.0
2025-10-22T00:39:38.668122Z,KXNBA-26-CHI,Will the Chicago win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2118711.98,467.0
2025-10-22T00:39:38.752693Z,KXNBA-26-CHA,Will the Charlotte win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2118532.58,467.0
2025-10-22T00:39:38.843778Z,KXNBA-26-DEN,Will the Denver win the 2026 Pro Basketball Finals?,active,binary,0.13,0.15,0.02,0.85,0.87,0.02,0.02,0.02,12,30,1805913.71,11976.0
2025-10-22T00:39:38.926672Z,KXNBA-26-CLE,Will the Cleveland win the 2026 Pro Basketball Finals?,active,binary,0.1,0.11,0.02,0.89,0.9,0.02,0.01,0.01,10,30,1708191.51,14713.0
2025-10-22T00:39:39.012352Z,KXNBA-26-HOU,Will the Houston win the 2026 Pro Basketball Finals?,active,binary,0.07,0.15,0.02,0.85,0.93,0.02,0.08,0.08,6,30,1237748.56,47266.0
2025-10-22T00:39:54.210497Z,KXNBA-26-NYK,Will the New York win the 2026 Pro Basketball Finals?,active,binary,0.07,0.1,0.02,0.9,0.93,0.02,0.03,0.03,7,36,3466166.75,74450.0
2025-10-22T00:39:54.322036Z,KXNBA-26-ORL,Will the Orlando win the 2026 Pro Basketball Finals?,active,binary,0.03,0.04,0.02,0.96,0.97,0.02,0.01,0.01,3,32,2753596.16,20681.0
2025-10-22T00:39:54.428472Z,KXNBA-26-LAL,Will the Los Angeles L win the 2026 Pro Basketball Finals?,active,binary,0.06,0.07,0.02,0.93,0.94,0.02,0.01,0.01,6,29,2605357.75,18988.0
2025-10-22T00:39:54.509828Z,KXNBA-26-LAC,Will the Los Angeles C win the 2026 Pro Basketball Finals?,active,binary,0.05,0.06,0.03,0.94,0.95,0.02,0.01,0.01,4,28,2488154.97,37966.0
2025-10-22T00:39:54.602095Z,KXNBA-26-BOS,Will the Boston win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,0.02,0.97,0.98,0.02,0.01,0.01,2,29,2473241.92,53485.0
2025-10-22T00:39:54.688260Z,KXNBA-26-OKC,Will the Oklahoma City win the 2026 Pro Basketball Finals?,active,binary,0.28,0.3,0.02,0.7,0.72,0.02,0.02,0.02,19,26,2467442.36,40504.0
2025-10-22T00:39:54.767638Z,KXNBA-26-MIN,Will the Minnesota win the 2026 Pro Basketball Finals?,active,binary,0.04,0.05,0.02,0.95,0.96,0.02,0.01,0.01,4,31,2432441.35,12205.0
2025-10-22T00:39:54.859088Z,KXNBA-26-PHI,Will the Philadelphia win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,0.02,0.97,0.98,0.02,0.01,0.01,2,32,2403359.85,1932.0
2025-10-22T00:39:54.951544Z,KXNBA-26-SAS,Will the San Antonio win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,0.02,0.97,0.98,0.02,0.01,0.01,2,31,2274861.91,8687.0
2025-10-22T00:39:55.053266Z,KXNBA-26-NOP,Will the New Orleans win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,29,2249387.08,3740.0
2025-10-22T00:39:55.145828Z,KXNBA-26-MIL,Will the Milwaukee win the 2026 Pro Basketball Finals?,active,binary,0.01,0.02,,0.98,0.99,0.02,0.01,0.01,1,29,2234800.07,13533.0
2025-10-22T00:39:55.236013Z,KXNBA-26-BKN,Will the Brooklyn win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,30,2196255.94,0.0
2025-10-22T00:39:55.343855Z,KXNBA-26-GSW,Will the Golden State win the 2026 Pro Basketball Finals?,active,binary,0.05,0.06,0.02,0.94,0.95,0.02,0.01,0.01,5,31,2188517.15,13552.0
2025-10-22T00:39:55.437876Z,KXNBA-26-DAL,Will the Dallas win the 2026 Pro Basketball Finals?,active,binary,0.03,0.04,0.02,0.96,0.97,0.02,0.01,0.01,3,32,2177351.59,9643.0
2025-10-22T00:39:55.552132Z,KXNBA-26-ATL,Will the Atlanta win the 2026 Pro Basketball Finals?,active,binary,0.02,0.03,0.02,0.97,0.98,0.02,0.01,0.01,2,28,2172110.0,1794.0
2025-10-22T00:39:55.643432Z,KXNBA-26-POR,Will the Portland win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,27,2152829.57,500.0
2025-10-22T00:39:55.736010Z,KXNBA-26-MIA,Will the Miami win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2144915.25,200.0
2025-10-22T00:39:55.824143Z,KXNBA-26-PHX,Will the Phoenix win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2142956.21,333.0
2025-10-22T00:39:55.920011Z,KXNBA-26-DET,Will the Detroit win the 2026 Pro Basketball Finals?,active,binary,0.01,0.02,,0.98,0.99,0.02,0.01,0.01,1,29,2127220.37,3740.0
2025-10-22T00:39:56.017379Z,KXNBA-26-MEM,Will the Memphis win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,27,2126284.06,492.0
2025-10-22T00:39:56.115817Z,KXNBA-26-TOR,Will the Toronto win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2126141.66,0.0
2025-10-22T00:39:56.213204Z,KXNBA-26-SAC,Will the Sacramento win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2126042.08,0.0
2025-10-22T00:39:56.306013Z,KXNBA-26-UTA,Will the Utah win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,27,2125172.62,0.0
2025-10-22T00:39:56.399632Z,KXNBA-26-WAS,Will the Washington win the 2026 Pro Basketball Finals?,active,binary,0.0,0.01,,0.99,1.0,0.02,0.01,0.01,0,26,2124153.39,0.0
2025-10-22T00:39:56.488481Z,KXNBA-26-IND,Will the Indiana win the 2026 Pro Basketball Finals?,active,binary,0.0,0.02,,0.98,1.0,0.02,0.02,0.02,0,29,2120695.93,498.0
